web-scraper-order,web-scraper-start-url,squadraCasa,squadraOspite,selectorRisultato,linkPartita,linkPartita-href,selectorQuota1Media,selectorQuotaxMedia,selectorQuota2Media,buttonUnderOver,selectorQuotaOver25Media,selectorQuotaUnder25Media,buttonGoalNoGoal,paginationButton,selectorQuotaGoalMedia,selectorQuotaNoGoalMedia
"1739929281-310","https://www.oddsportal.com/it/football/italy/serie-a/results/","Roma","Genoa","3–1","20:45Roma33–1Genoa1","https://www.oddsportal.com/it/football/italy/serie-a/as-roma-genoa-2P2WQCin/","1.47","4.15","7.33","","1.90","1.82","","","2.05","1.70"
"1739929300-311","https://www.oddsportal.com/it/football/italy/serie-a/results/","Udinese","Empoli","3–0","15:00Udinese33–0Empoli0","https://www.oddsportal.com/it/football/italy/serie-a/udinese-empoli-84Izvl77/","1.88","3.34","4.42","","2.05","1.69","","","1.88","1.82"
"1739929309-312","https://www.oddsportal.com/it/football/italy/serie-a/results/","Monza","Lecce","0–0","15:00Monza00–0Lecce0","https://www.oddsportal.com/it/football/italy/serie-a/monza-lecce-vPQJsW7r/","2.78","3.02","2.73","","2.30","1.55","","","1.93","1.78"
"1739929317-313","https://www.oddsportal.com/it/football/italy/serie-a/results/","Parma","Roma","0–1","18:00Parma00–1Roma1","https://www.oddsportal.com/it/football/italy/serie-a/parma-as-roma-CxPRuAxe/","3.67","3.31","2.07","","1.75","1.98","","","1.60","2.20"
"1739929325-314","https://www.oddsportal.com/it/football/italy/serie-a/results/","Juventus","Inter","1–0","20:45Juventus11–0Inter0","https://www.oddsportal.com/it/football/italy/serie-a/juventus-inter-WIHfs2d2/","3.82","3.26","2.06","","1.99","1.75","","","1.77","1.94"
"1739929334-315","https://www.oddsportal.com/it/football/italy/serie-a/results/","Genoa","Venezia","2–0","20:45Genoa22–0Venezia0","https://www.oddsportal.com/it/football/italy/serie-a/genoa-venezia-OhEnqORk/","1.81","3.29","4.95","","2.27","1.57","","","2.08","1.67"
"1739929385-316","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Atalanta","Monza","3–0","20:45Atalanta33–0Monza0","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/atalanta-monza-4AhPuywD/","1.67","4.01","4.77","","1.64","2.16","","","1.65","2.12"
"1739929393-317","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Torino","Genoa","1–0","18:30Torino11–0Genoa0","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/torino-genoa-UBScfzh6/","2.02","3.21","3.92","","2.26","1.59","","","1.98","1.75"
"1739929402-318","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Inter","Fiorentina","4–0","18:30Inter44–0Fiorentina0","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/inter-fiorentina-rilF2bpQ/","1.70","3.82","4.76","","1.70","2.06","","","1.66","2.11"
"1739929410-319","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Lecce","Salernitana","2–0","20:45Lecce22–0Salernitana0","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/lecce-salernitana-0WzsbIhs/","1.93","3.28","4.23","","2.16","1.64","","","1.96","1.77"
"1739929419-320","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Empoli","Juventus","0–2","20:45Empoli00–2Juventus2","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/empoli-juventus-p6VB3vVJ/","5.47","3.91","1.62","","1.82","1.92","","","1.82","1.91"
"1739929427-321","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Monza","Salernitana","3–0","12:30Monza33–0Salernitana0","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/monza-salernitana-SSNE9RE7/","1.70","3.83","4.92","","1.77","1.98","","","1.72","2.01"
"1739929436-322","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Lazio","Atalanta","3–2","15:00Lazio33–2Atalanta2","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/lazio-atalanta-hUcmOQT0/","2.91","3.18","2.54","","2.02","1.73","","","1.77","1.95"
"1739929444-323","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Frosinone","Verona","2–1","15:00Frosinone22–1Verona1","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/frosinone-verona-Gl49V8yR/","2.21","3.32","3.37","","1.93","1.81","","","1.73","2.00"
"1739929453-324","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Cagliari","Roma","1–4","18:00Cagliari11–4Roma4","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/cagliari-as-roma-KMA0XU6E/","5.00","3.50","1.77","","2.13","1.65","","","2.00","1.74"
"1739929461-325","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Napoli","Fiorentina","1–3","20:45Napoli11–3Fiorentina3","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/napoli-fiorentina-tWBdYAi8/","1.57","4.32","5.53","","1.56","2.31","","","1.63","2.16"
"1739929470-326","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Empoli","Sassuolo","3–4","15:00Empoli33–4Sassuolo4","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/empoli-sassuolo-n5MtIh23/","2.64","3.46","2.58","","1.62","2.19","","","1.52","2.40"
"1739929478-327","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Roma","Udinese","3–1","18:00Roma33–1Udinese1","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/as-roma-udinese-GpEcEA1S/","1.63","3.72","5.77","","2.06","1.70","","","2.01","1.73"
"1739929487-328","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Juventus","Inter","1–1","20:45Juventus11–1Inter1","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/juventus-inter-fVPlGWWF/","3.40","3.16","2.26","","2.21","1.61","","","1.91","1.82"
"1739929495-329","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Verona","Lecce","2–2","18:30Verona22–2Lecce2","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/verona-lecce-nT4T8lPk/","2.79","2.92","2.82","","2.44","1.50","","","2.01","1.72"
"1739929504-330","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Bologna","Torino","2–0","20:45Bologna22–0Torino0","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/bologna-torino-8MH1fkAd/","2.36","3.00","3.36","","2.44","1.50","","","2.06","1.69"
"1739929512-331","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Udinese","Bologna","3–0","15:00Udinese33–0Bologna0","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/udinese-bologna-h88CREhq/","3.51","3.01","2.27","","2.35","1.54","","","1.98","1.74"
"1739929521-332","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Cagliari","Empoli","0–0","15:00Cagliari00–0Empoli0","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/cagliari-empoli-xYFuPLWp/","2.04","3.47","3.58","","1.80","1.94","","","1.65","2.11"
"1739929529-333","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Verona","Salernitana","0–1","18:00Verona00–1Salernitana1","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/verona-salernitana-6BCGQY7k/","1.89","3.41","4.26","","1.97","1.77","","","1.83","1.89"
"1739929538-334","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Milan","Sassuolo","1–0","18:00Milan11–0Sassuolo0","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/ac-milan-sassuolo-YJevpN8A/","1.51","4.69","5.58","","1.43","2.66","","","1.54","2.34"
"1739929546-335","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Juventus","Roma","1–0","20:45Juventus11–0Roma0","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/juventus-as-roma-n3cWoqvb/","2.11","2.95","4.11","","2.74","1.41","","","2.23","1.59"
"1739929555-336","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Roma","Cagliari","4–0","20:45Roma44–0Cagliari0","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/as-roma-cagliari-jZKXGIuH/","1.46","4.32","7.17","","1.75","2.01","","","1.90","1.81"
"1739929563-337","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Salernitana","Empoli","1–3","20:45Salernitana11–3Empoli3","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/salernitana-empoli-pIeCSFvT/","2.35","3.11","3.21","","2.26","1.59","","","1.90","1.81"
"1739929572-338","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Cagliari","Lazio","1–3","15:00Cagliari11–3Lazio3","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/cagliari-lazio-67M49zYj/","3.57","3.24","2.13","","2.11","1.66","","","1.88","1.84"
"1739929580-339","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Roma","Inter","2–4","18:00Roma22–4Inter4","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/as-roma-inter-2g67TePM/","4.36","3.52","1.84","","1.91","1.83","","","1.80","1.92"
"1739929589-340","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Sassuolo","Torino","1–1","20:45Sassuolo11–1Torino1","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/sassuolo-torino-6L1wOZnp/","3.30","3.22","2.25","","2.05","1.70","","","1.81","1.92"
"1739929597-341","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Lecce","Verona","0–1","12:30Lecce00–1Verona1","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/lecce-verona-dWNAok25/","2.17","3.10","3.68","","2.33","1.55","","","1.98","1.74"
"1739929606-342","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Milan","Empoli","1–0","15:00Milan11–0Empoli0","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/ac-milan-empoli-E7IFp9HB/","1.41","4.62","7.77","","1.77","1.98","","","1.98","1.74"
"1739929614-343","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Juventus","Atalanta","2–2","18:00Juventus22–2Atalanta2","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/juventus-atalanta-OIP2mBXh/","2.24","3.17","3.41","","2.19","1.62","","","1.90","1.81"
"1739929622-344","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Fiorentina","Roma","2–2","20:45Fiorentina22–2Roma2","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/fiorentina-as-roma-UJWgkX2t/","2.55","3.22","2.85","","2.00","1.74","","","1.74","1.99"
"1739929631-345","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Lazio","Udinese","1–2","20:45Lazio11–2Udinese2","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/lazio-udinese-IuP6nVna/","1.86","3.40","4.50","","2.13","1.66","","","1.98","1.75"
"1739929641-346","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Monza","Atalanta","1–2","20:45Monza11–2Atalanta2","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/monza-atalanta-pWEkYYSs/","3.93","3.68","1.89","","1.78","1.95","","","1.69","2.07"
"1739929650-347","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Roma","Bologna","1–3","18:30Roma11–3Bologna3","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/as-roma-bologna-279fXhrl/","2.34","2.92","3.50","","2.51","1.49","","","2.03","1.72"
"1739929658-348","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Milan","Inter","1–2","20:45Milan11–2Inter2","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/ac-milan-inter-rNSNxFKQ/","3.75","3.39","2.03","","1.76","2.00","","","1.63","2.16"
"1739929667-349","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Udinese","Roma","1–2","20:00Udinese11–2Roma2","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/udinese-as-roma-f1nTGXc7/","6.06","1.79","3.00","","1.90","1.80","","","",""
"1739929675-350","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Frosinone","Salernitana","3–0","20:45Frosinone33–0Salernitana0","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/frosinone-salernitana-8AaFSUdJ/","1.36","4.98","8.12","","1.52","2.41","","","1.76","1.97"
"1739929683-351","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Verona","Inter","2–2","20:45Verona22–2Inter2","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/verona-inter-jPP565dL/","6.75","4.97","1.41","","1.42","2.68","","","1.62","2.17"
"1739929692-352","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Lazio","Sassuolo","1–1","20:45Lazio11–1Sassuolo1","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/lazio-sassuolo-6Le197C2/","1.31","5.45","8.83","","1.52","2.37","","","1.84","1.87"
"1739929700-353","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Frosinone","Udinese","0–1","20:45Frosinone00–1Udinese1","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/frosinone-udinese-rN4paNle/","2.51","3.02","3.00","","1.95","1.76","","","1.70","2.03"
"1739929709-354","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Empoli","Roma","2–1","20:45Empoli22–1Roma1","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/empoli-as-roma-4W5t03Zl/","2.17","3.54","3.13","","1.74","2.00","","","1.62","2.16"
"1739929718-355","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/results/","Atalanta","Fiorentina","2–3","18:00Atalanta22–3Fiorentina3","https://www.oddsportal.com/it/football/italy/serie-a-2023-2024/atalanta-fiorentina-0OKRs71U/","1.57","4.38","5.23","","1.49","2.48","","","1.58","2.25"
"1739929768-356","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Verona","Atalanta","0–1","18:30Verona00–1Atalanta1","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/verona-atalanta-4KFSryQq/","3.85","3.83","1.88","","1.58","2.27","","","1.55","2.32"
"1739929777-357","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Salernitana","Sampdoria","4–0","18:30Salernitana44–0Sampdoria0","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/salernitana-sampdoria-vcfV2dHF/","2.45","3.12","3.08","","2.01","1.73","","","1.76","1.96"
"1739929785-358","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Lecce","Empoli","1–1","20:45Lecce11–1Empoli1","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/lecce-empoli-hthJ5bXd/","2.25","3.32","3.23","","1.84","1.90","","","1.66","2.11"
"1739929794-359","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Fiorentina","Napoli","0–0","20:45Fiorentina00–0Napoli0","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/fiorentina-napoli-2BT0mHHS/","3.27","3.51","2.17","","1.71","2.05","","","1.60","2.23"
"1739929803-360","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Sassuolo","Milan","0–0","18:30Sassuolo00–0Milan0","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/sassuolo-ac-milan-n1xwamGs/","5.06","4.14","1.63","","1.51","2.42","","","1.56","2.31"
"1739929811-361","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Lecce","Cremonese","1–1","15:00Lecce11–1Cremonese1","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/lecce-cremonese-nwjAktrh/","2.04","3.36","3.78","","1.94","1.79","","","1.76","1.95"
"1739929820-362","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Atalanta","Fiorentina","1–0","18:00Atalanta11–0Fiorentina0","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/atalanta-fiorentina-SYIqZKcB/","2.08","3.40","3.60","","1.84","1.89","","","1.70","2.06"
"1739929828-363","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Juventus","Bologna","3–0","20:45Juventus33–0Bologna0","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/juventus-bologna-fq3ORxjo/","1.50","4.15","6.90","","1.84","1.89","","","1.95","1.78"
"1739929837-364","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Verona","Udinese","1–2","20:45Verona11–2Udinese2","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/verona-udinese-zaMiXbSN/","3.43","3.42","2.13","","1.77","1.96","","","1.63","2.16"
"1739929845-365","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Sassuolo","Inter","1–2","15:00Sassuolo11–2Inter2","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/sassuolo-inter-jkglYaUE/","4.20","4.05","1.76","","1.61","2.21","","","1.60","2.21"
"1739929854-366","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Sampdoria","Fiorentina","0–2","15:00Sampdoria00–2Fiorentina2","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/sampdoria-fiorentina-bVSc54e4/","4.29","3.45","1.87","","1.96","1.76","","","1.82","1.90"
"1739929862-367","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Monza","Verona","2–0","15:00Monza22–0Verona0","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/monza-verona-CEQo86Bo/","2.15","3.39","3.40","","1.83","1.90","","","1.66","2.09"
"1739929871-368","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Roma","Lazio","0–1","18:00Roma00–1Lazio1","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/as-roma-lazio-j5Pk7QQi/","2.12","3.26","3.65","","2.04","1.72","","","1.80","1.94"
"1739929880-369","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Juventus","Inter","2–0","20:45Juventus22–0Inter0","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/juventus-inter-bXJZ0k4I/","3.06","3.23","2.42","","1.94","1.80","","","1.71","2.04"
"1739929888-370","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Spezia","Udinese","1–1","18:30Spezia11–1Udinese1","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/spezia-udinese-E7xtIsuA/","3.79","3.51","1.99","","1.83","1.90","","","1.69","2.06"
"1739929897-371","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Torino","Spezia","0–1","15:00Torino00–1Spezia1","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/torino-spezia-ziCkkn6a/","1.74","3.55","5.06","","2.06","1.70","","","1.98","1.74"
"1739929906-372","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Atalanta","Salernitana","8–2","18:00Atalanta88–2Salernitana2","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/atalanta-salernitana-zwXGzmi6/","1.32","5.34","9.35","","1.50","2.45","","","1.82","1.90"
"1739929914-373","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Roma","Fiorentina","2–0","20:45Roma22–0Fiorentina0","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/as-roma-fiorentina-SQ8si8ym/","2.13","3.26","3.65","","2.15","1.64","","","1.90","1.82"
"1739929923-374","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Empoli","Sampdoria","1–0","20:45Empoli11–0Sampdoria0","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/empoli-sampdoria-W4QPYQLI/","2.09","3.21","3.82","","2.08","1.69","","","1.84","1.89"
"1739929931-375","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Verona","Lecce","2–0","15:00Verona22–0Lecce0","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/verona-lecce-4W36o45O/","2.23","3.02","3.67","","2.40","1.53","","","1.99","1.74"
"1739929940-376","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Fiorentina","Empoli","1–1","15:00Fiorentina11–1Empoli1","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/fiorentina-empoli-ruUb4wT0/","1.64","3.91","5.35","","1.83","1.92","","","1.84","1.89"
"1739929948-377","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Spezia","Juventus","0–2","18:00Spezia00–2Juventus2","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/spezia-juventus-p8jUJISm/","5.51","3.80","1.65","","2.01","1.75","","","2.00","1.74"
"1739929957-378","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Roma","Verona","1–0","20:45Roma11–0Verona0","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/as-roma-verona-hABkR0zE/","1.75","3.37","5.40","","2.39","1.53","","","2.19","1.62"
"1739929965-379","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Torino","Cremonese","2–2","20:45Torino22–2Cremonese2","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/torino-cremonese-rg9XIxrf/","1.67","3.57","5.74","","2.23","1.61","","","2.11","1.66"
"1739929973-380","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Empoli","Napoli","0–2","18:00Empoli00–2Napoli2","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/empoli-napoli-Ys2pGzSC/","7.10","4.59","1.44","","1.65","2.15","","","1.85","1.87"
"1739929982-381","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Roma","Sampdoria","3–0","18:00Roma33–0Sampdoria0","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/as-roma-sampdoria-MPck9MFL/","1.34","4.85","10.20","","1.91","1.83","","","2.32","1.55"
"1739929990-382","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Napoli","Milan","0–4","20:45Napoli00–4Milan4","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/napoli-ac-milan-8MgoA20F/","1.97","3.32","4.14","","2.09","1.69","","","1.89","1.84"
"1739929999-383","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Empoli","Lecce","1–0","18:30Empoli11–0Lecce0","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/empoli-lecce-tAIjlLwd/","2.67","2.91","3.00","","2.32","1.56","","","1.93","1.79"
"1739930007-384","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Sassuolo","Torino","1–1","20:45Sassuolo11–1Torino1","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/sassuolo-torino-Gncg8tVR/","2.47","3.24","2.97","","2.01","1.74","","","1.77","1.96"
"1739930015-385","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Salernitana","Inter","1–1","17:00Salernitana11–1Inter1","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/salernitana-inter-ITOP6lBK/","6.47","4.27","1.51","","1.82","1.92","","","1.93","1.79"
"1739930024-386","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Lazio","Sassuolo","2–0","21:00Lazio22–0Sassuolo0","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/lazio-sassuolo-IVyOtehi/","1.66","4.04","5.06","","1.68","2.08","","","1.70","2.04"
"1739930032-387","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Milan","Cremonese","1–1","21:00Milan11–1Cremonese1","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/ac-milan-cremonese-WYuSuF7c/","1.34","5.03","9.66","","1.74","2.01","","","2.17","1.63"
"1739930041-388","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Udinese","Napoli","1–1","20:45Udinese11–1Napoli1","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/udinese-napoli-OlfyxX6M/","6.03","3.86","1.60","","1.85","1.89","","","1.85","1.87"
"1739930049-389","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Empoli","Bologna","3–1","20:45Empoli33–1Bologna1","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/empoli-bologna-pr79NXiT/","2.75","3.04","2.79","","2.17","1.63","","","1.86","1.86"
"1739930058-390","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Milan","Lazio","2–0","15:00Milan22–0Lazio0","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/ac-milan-lazio-42ScgYyc/","1.86","3.47","4.44","","2.11","1.66","","","1.94","1.78"
"1739930066-391","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Lecce","Bologna","2–3","21:00Lecce22–3Bologna3","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/lecce-bologna-KjMc6ZHU/","2.59","3.29","2.70","","1.88","1.85","","","1.66","2.09"
"1739930075-392","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Atalanta","Monza","5–2","21:00Atalanta55–2Monza2","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/atalanta-monza-n1Up9yYB/","1.50","4.56","5.71","","1.48","2.49","","","1.59","2.22"
"1739930083-393","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Roma","Spezia","2–1","21:00Roma22–1Spezia1","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/as-roma-spezia-hviCPdIh/","1.77","3.59","4.58","","1.94","1.78","","","1.85","1.86"
"1739930092-394","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Milan","Verona","3–1","21:00Milan33–1Verona1","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/ac-milan-verona-dCc3RImt/","1.66","3.81","5.07","","1.85","1.88","","","1.87","1.83"
"1739930100-395","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/results/","Spezia","Verona","1–3","20:45Spezia11–3Verona3","https://www.oddsportal.com/it/football/italy/serie-a-2022-2023/spezia-verona-Q3DqQz7n/","2.80","2.79","2.92","","2.81","1.40","","","2.24","1.58"
"1739930148-396","https://www.oddsportal.com/it/football/spain/laliga/results/","Alaves","Las Palmas","2–0","17:00Alaves22–0Las Palmas0","https://www.oddsportal.com/it/football/spain/laliga/alaves-las-palmas-tQQLbGv9/","1.72","3.50","5.16","","2.21","1.61","","","2.08","1.67"
"1739930156-397","https://www.oddsportal.com/it/football/spain/laliga/results/","Siviglia","Girona","0–2","19:00Siviglia00–2Girona2","https://www.oddsportal.com/it/football/spain/laliga/siviglia-girona-n1v9mjW7/","2.72","3.60","2.41","","1.67","2.10","","","1.57","2.26"
"1739930165-398","https://www.oddsportal.com/it/football/spain/laliga/results/","Getafe","Real Sociedad","0–0","19:15Getafe00–0Real Sociedad0","https://www.oddsportal.com/it/football/spain/laliga/getafe-real-sociedad-h4pRxZHk/","3.13","2.69","2.71","","3.29","1.30","","","2.42","1.50"
"1739930173-399","https://www.oddsportal.com/it/football/spain/laliga/results/","Real Madrid","Betis","2–0","21:30Real Madrid22–0Betis0","https://www.oddsportal.com/it/football/spain/laliga/real-madrid-betis-YN50iYWr/","1.24","6.10","11.45","","1.50","2.45","","","1.96","1.75"
"1739930182-400","https://www.oddsportal.com/it/football/spain/laliga/results/","Betis","Leganes","2–0","21:00Betis22–0Leganes0","https://www.oddsportal.com/it/football/spain/laliga/betis-leganes-YeqTho8m/","1.66","3.55","5.85","","2.34","1.55","","","2.25","1.57"
"1739930191-401","https://www.oddsportal.com/it/football/spain/laliga/results/","Real Madrid","Villarreal","2–0","21:00Real Madrid22–0Villarreal0","https://www.oddsportal.com/it/football/spain/laliga/real-madrid-villarreal-CQIvoCSa/","1.25","6.32","9.83","","1.29","3.36","","","1.61","2.18"
